#strain     energy[eV]      volume[bohr^3]    s_xx[GPa]       s_xy[GPa]       s_xz[GPa]       s_yy[GPa]       s_yz[GPa]       s_zz[GPa]
 +0.0000   -857.58200000   1103.71130000 -1.92661348e-01  0.00000000e+00  0.00000000e+00 -1.92661348e-01  0.00000000e+00 -1.92661348e-01 
 -0.0100   -857.57220000   1092.67420000 -1.72774694e+00  0.00000000e+00  0.00000000e+00 -7.78128227e-01  0.00000000e+00 -7.78128227e-01 
 +0.0100   -857.57620000   1114.74840000  1.31379477e+00  0.00000000e+00  0.00000000e+00  3.45554006e-01  0.00000000e+00  3.45554006e-01 
 -0.0100   -857.57220000   1092.67420000 -7.78148564e-01  0.00000000e+00  0.00000000e+00 -1.72769602e+00  0.00000000e+00 -7.78148564e-01 
 +0.0100   -857.57620000   1114.74840000  3.45536115e-01  0.00000000e+00  0.00000000e+00  1.31374426e+00  0.00000000e+00  3.45536115e-01 
 -0.0100   -857.57220000   1092.67420000 -7.78132150e-01  0.00000000e+00  0.00000000e+00 -7.78132150e-01  0.00000000e+00 -1.72775867e+00 
 +0.0100   -857.57620000   1114.74840000  3.45556294e-01  0.00000000e+00  0.00000000e+00  3.45556294e-01  0.00000000e+00  1.31375741e+00 
 -0.0100   -857.56170000   1103.60090000 -1.84881143e-01  0.00000000e+00  0.00000000e+00 -2.12593116e-01 -1.49242804e+00 -2.12593116e-01 
 +0.0100   -857.56170000   1103.60090000 -1.84878673e-01  0.00000000e+00  0.00000000e+00 -2.12592179e-01  1.49240093e+00 -2.12592179e-01 
 -0.0100   -857.56170000   1103.60090000 -2.12594012e-01  0.00000000e+00 -1.49245553e+00 -1.84883393e-01  0.00000000e+00 -2.12594012e-01 
 +0.0100   -857.56170000   1103.60090000 -2.12593988e-01  0.00000000e+00  1.49245375e+00 -1.84883351e-01  0.00000000e+00 -2.12593988e-01 
 -0.0100   -857.56170000   1103.60090000 -2.12593018e-01 -1.49242675e+00  0.00000000e+00 -2.12593018e-01  0.00000000e+00 -1.84881045e-01 
 +0.0100   -857.56170000   1103.60090000 -2.12593879e-01  1.49245333e+00  0.00000000e+00 -2.12593879e-01  0.00000000e+00 -1.84883317e-01 
